"","id","pert_id","pert_iname","cell_iname","pert_type","pert_idose","pert_itime","nsample","ss_ngene","cc_q75","tas","qc_pass","is_hiq","is_ncs_sig","is_exemplar_sig","is_null_sig","moa","target_name","raw_cs","fdr_q_nlog10","norm_cs"
"572","REP.A023_HT29_24H:L01","BRD-A70998768","pinaverium","HT29","trt_cp","10 uM","24 h",3,506,"0.5881","0.551609",1,1,1,1,0,"Calcium channel blocker","CACNA1C","0.8415","2.0969","1.8567"
"597","CPC015_SKB_24H:BRD-A34205397-001-03-7:10","BRD-A34205397","suloctidil","SKB","trt_cp","10 uM","24 h",2,160,"0.3","0.22154",0,0,1,1,0,"Adrenergic receptor antagonist","-666","0.8399","2.0921","1.8532"
"634","CPC011_VCAP_6H:BRD-K37798499-001-13-2:10","BRD-K37798499","etoposide","VCAP","trt_cp","10 uM","6 h",5,212,"0.34","0.27148",0,0,1,1,0,"Topoisomerase inhibitor","TOP2A|TOP2B|CYP2E1|CYP3A5","0.8377","2.0854","1.8483"
"646","CPC006_A375_24H:BRD-K32330832-001-01-0:11.1","BRD-K32330832","VER-155008","A375","trt_cp","12 uM","24 h",5,365,"0.57","0.461227",1,1,1,1,0,"HSP inhibitor","HSPA1A","0.8372","2.0839","1.8472"
"670","REP.A025_HELA_24H:D01","BRD-A90799790","isradipine","HELA","trt_cp","10 uM","24 h",3,99,"0.2683","0.1648",1,1,1,1,0,"Calcium channel blocker","CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNA2D1|CACNA1H|CACNA2D2|CACNB2","0.836","2.0806","1.8446"
"695","CPC016_MCF7_24H:BRD-K96809896-300-01-5:10","BRD-K96809896","SKF-86002","MCF7","trt_cp","10 uM","24 h",4,210,"0.21","0.212349",1,0,1,1,0,"P38 MAPK inhibitor","ALOX5|MAPK14","0.8346","2.0764","1.8415"
"701","CPD003_MCF7_24H:H20","BRD-K29458283","chlorambucil","MCF7","trt_cp","10 uM","24 h",3,278,"0.393","0.334233",1,1,1,1,0,"DNA inhibitor","-666","0.8342","2.0752","1.8406"
"722","REP.B014_MCF7_24H:F04","BRD-K58435339","AT-13387","MCF7","trt_cp","0.08 uM","24 h",2,208,"0.4056","0.293705",1,1,1,1,0,"HSP inhibitor","HSP90AA1","0.833","2.0718","1.838"
"729","CPC006_VCAP_6H:BRD-A35588707-001-03-0:1.25","BRD-A35588707","teniposide","VCAP","trt_cp","1.25 uM","6 h",4,210,"0.55","0.343654",1,1,1,1,0,"Topoisomerase inhibitor","TOP2A|CYP3A5|TOP2B","0.8329","2.0714","1.8377"
"797","CPC007_HA1E_24H:BRD-K40213712-001-05-4:10","BRD-K40213712","SAL-1","HA1E","trt_cp","10 uM","24 h",3,371,"0.44","0.408549",1,0,1,1,0,"Adenosine receptor antagonist","ADORA2B","0.8298","2.0628","1.8309"
"905","LKCP002_MCF7_24H:N16","BRD-K12906202","carbendazim","MCF7","trt_cp","10 uM","24 h",5,263,"0.3987","0.32744",1,1,1,1,0,"Tubulin inhibitor","TP53|TUBB","0.8253","2.0501","1.8209"
"910","CPC017_ASC_24H:BRD-A01295252-001-01-5:10","BRD-A01295252","BRD-A01295252","ASC","trt_cp","10 uM","24 h",4,272,"0.32","0.298325",0,0,1,1,0,"Dopamine receptor antagonist","-666","0.8251","2.0496","1.8204"
"932","REP.A017_PC3_24H:N07","BRD-K67783091","haloperidol","PC3","trt_cp","10 uM","24 h",3,85,"0.1016","0.0939695",1,0,1,1,0,"Dopamine receptor antagonist","DRD2|DRD3|HTR2A|DRD1|DRD4|CYP3A7|DRD5|GRIN2B|HRH1|HTR1A|HTR1D|HTR2B|HTR7|KCNH1","0.8244","2.0476","1.8188"
"970","CPC016_MCF7_6H:BRD-K72462751-001-01-9:10","BRD-K72462751","C-1","MCF7","trt_cp","10 uM","6 h",2,197,"0.38","0.276666",0,0,1,1,0,"Protein kinase inhibitor","PRKCA","0.8228","2.0434","1.8154"
"986","CPC018_MCF7_24H:BRD-K36864847-303-01-7:10","BRD-K36864847","BD-1047","MCF7","trt_cp","10 uM","24 h",4,297,"0.12","0.190897",1,0,1,1,0,"Adrenergic receptor antagonist","SIGMAR1","0.822","2.0413","1.8137"
"1070","CPC020_MCF7_6H:BRD-K86873305-236-13-9:10","BRD-K86873305","piperacillin","MCF7","trt_cp","10 uM","6 h",4,410,"0.34","0.377539",1,0,1,1,0,"Bacterial cell wall synthesis inhibitor","-666","0.8183","2.0314","1.8054"
"1077","EMU001_BJAB_24H:M16","BRD-K30577245","docetaxel","BJAB","trt_cp","0.125 uM","24 h",3,225,"0.3746","0.293566",1,1,1,1,0,"Tubulin inhibitor","TUBB|BCL2|MAP2|MAP4|MAPT|NR1I2|TUBB1","0.8181","2.0309","1.805"
"1122","REP.B027_YAPC_24H:J01","BRD-K97158071","droperidol","YAPC","trt_cp","2.22 uM","24 h",2,100,"0.2302","0.15342",1,1,1,1,0,"Dopamine receptor antagonist","DRD2|ADRA1A|DRD3|DRD4|HTR2A","0.8164","2.0265","1.8013"
"1157","REP.B016_MCF7_24H:K01","BRD-K54770957","etoricoxib","MCF7","trt_cp","2.22 uM","24 h",2,148,"0.336","0.225492",1,1,1,1,0,"Cyclooxygenase inhibitor","PTGS2","0.8152","2.0234","1.7986"
"1164","CPC002_HCC515_24H:BRD-K45479396-103-01-2:10","BRD-K45479396","BP-554","HCC515","trt_cp","10 uM","24 h",3,153,"0.48","0.274029",1,1,1,1,0,"Serotonin receptor agonist","HTR1A","0.8149","2.0228","1.7981"
"1175","REP.A002_PC3_24H:P09","BRD-K18324993","budipine","PC3","trt_cp","1.11 uM","24 h",3,195,"0.3006","0.244817",1,1,1,1,0,"Glutamate receptor antagonist","GRIN1","0.8146","2.0221","1.7974"
"1194","AICHI001_BJAB_4H:C09","BRD-K52751261","TAK-715","BJAB","trt_cp","0.66 uM","4 h",2,52,"0.3","0.126297",0,0,1,1,0,"P38 MAPK inhibitor","MAPK14|TNF","0.814","2.0205","1.7961"
"1219","LJP009_HT29_24H:F19","BRD-K87904882","chelerythrine","HT29","trt_cp","10 uM","24 h",2,184,"0.4929","0.304522",1,1,1,1,0,"Protein kinase inhibitor","-666","0.8134","2.0188","1.7946"
"1270","CPC006_U937_6H:BRD-K28907958-001-02-7:11.1","BRD-K28907958","CD-437","U937","trt_cp","12 uM","6 h",2,273,"0.1","0.167075",1,0,1,1,0,"Retinoid receptor agonist","RARG","0.8117","2.0147","1.791"
"1331","REP.A019_YAPC_24H:N01","BRD-K49671696","ketanserin","YAPC","trt_cp","10 uM","24 h",3,149,"0.2253","0.18527",0,0,1,1,0,"Serotonin receptor antagonist","HTR2A|HTR2C|ADRA1A|ADRA1B|ADRA1D|DRD1|DRD5|HTR1A|HTR1B|HTR1D|HTR2B|HTR5A|HTR7|SLC18A1|SLC18A2","0.8098","2.0098","1.7867"
"1340","CPC011_MCF7_6H:BRD-K88679075-001-04-3:10","BRD-K88679075","methandriol","MCF7","trt_cp","10 uM","6 h",2,709,"0.62","0.670424",1,1,1,1,0,"Androgen receptor antagonist","-666","0.8096","2.0094","1.7863"
"1386","LJP007_THP1_24H:H13","BRD-K26838195","AST-1306","THP1","trt_cp","10 uM","24 h",3,144,"0.3142","0.215087",1,1,1,1,0,"EGFR inhibitor","EGFR|ERBB2|ERBB4","0.8084","2.0063","1.7836"
"1394","CPC004_HEPG2_6H:BRD-A49447682-001-01-6:10","BRD-A49447682","BRD-A49447682","HEPG2","trt_cp","10 uM","6 h",3,86,"0.13","0.106918",0,0,1,1,0,"Glucocorticoid receptor agonist","NR3C1|PLA2G1B","0.808","2.0055","1.7828"
"1429","REP.B011_MCF7_24H:A19","BRD-K04112579","nepafenac","MCF7","trt_cp","2.22 uM","24 h",2,315,"0.0946","0.174555",0,0,1,1,0,"Cyclooxygenase inhibitor","PTGS2|PTGS1","0.8068","2.0025","1.7802"
"1454","REP.A026_HUVEC.A_24H:N07","BRD-K99023089","AZD-5363","HUVEC","trt_cp","10 uM","24 h",3,246,"0.3916","0.313848",0,0,1,1,0,"AKT inhibitor","AKT1|AKT2|AKT3","0.8062","2.0011","1.7789"
"1456","REP.A017_HEK293_24H:B07","BRD-K50168500","canertinib","HEK293","trt_cp","10 uM","24 h",3,250,"0.4252","0.329683",0,0,1,1,0,"EGFR inhibitor","EGFR|ERBB2|ERBB4|AKT1","0.8062","2.001","1.7788"
"1500","CPC013_HEPG2_6H:BRD-U82589721-000-01-4:10","BRD-U82589721","HG-5-113-01","HEPG2","trt_cp","10 uM","6 h",3,359,"0.49","0.424107",1,1,1,1,0,"Protein kinase inhibitor","-666","0.8047","1.9975","1.7756"
"1520","CPC006_H1299_6H:BRD-K68336408-001-04-2:56.78","BRD-K68336408","BRD-K68336408","H1299","trt_cp","60 uM","6 h",2,173,"0.55","0.311914",0,0,1,1,0,"EGFR inhibitor","EGFR|MAPK14","0.8042","1.996","1.7743"
"1536","REP.A013_YAPC_24H:I16","BRD-K41434598","ORG-9768","YAPC","trt_cp","0.37 uM","24 h",3,92,"0.3383","0.178392",1,0,1,1,0,"Adrenergic receptor antagonist","SLC6A2|ADRA2A","0.8038","1.9953","1.7736"
"1546","LJP008_THP1_24H:I11","BRD-K16485616","mocetinostat","THP1","trt_cp","0.12 uM","24 h",3,610,"0.8259","0.717727",1,1,1,1,0,"HDAC inhibitor","HDAC1|HDAC2|HDAC3|HDAC11","0.8036","1.9947","1.773"
"1549","CPC012_HA1E_6H:BRD-K35483542-001-03-1:10","BRD-K35483542","alitretinoin","HA1E","trt_cp","10 uM","6 h",3,285,"0.37","0.328363",1,0,1,1,0,"Retinoid receptor agonist","RARG|RARA|RARB|RXRA|RXRG|RXRB","0.8035","1.9946","1.7729"
"1581","REP.A009_PC3_24H:O16","BRD-K34157611","cimetidine","PC3","trt_cp","0.37 uM","24 h",3,85,"0.2663","0.152134",0,0,1,1,0,"Histamine receptor antagonist","HRH2|SLC29A4|SLC47A1|SLC47A2","0.8025","1.9921","1.7707"
"1586","CPC013_PC3_6H:BRD-U37049823-000-01-2:10","BRD-U37049823","HG-6-64-01","PC3","trt_cp","10 uM","6 h",5,363,"0.44","0.40412",1,1,1,1,0,"RAF inhibitor","-666","0.8025","1.992","1.7706"
"1592","REP.A013_A375_24H:H07","BRD-A40639672","ketorolac","A375","trt_cp","10 uM","24 h",3,99,"0.2643","0.163567",0,0,1,1,0,"Cyclooxygenase inhibitor","PTGS1|PTGS2","0.8023","1.9915","1.7701"
"1609","CPC004_VCAP_6H:BRD-K65639003-001-05-8:10","BRD-K65639003","icariin","VCAP","trt_cp","10 uM","6 h",4,101,"0.1","0.101623",1,0,1,1,0,"Phosphodiesterase inhibitor","NMUR2|SORD|PDE5A","0.8019","1.9907","1.7694"
"1612","REP.A023_JURKAT_24H:N24","BRD-K72166146","BRD-K72166146","JURKAT","trt_cp","0.04 uM","24 h",3,722,"0.2111","0.394769",0,0,1,1,0,"Serotonin receptor agonist","HTR1D|HTR1B|ADRA2A|DRD2|HTR1E|HTR1F|HTR2B|HTR7","0.8018","1.9905","1.7692"
"1677","CRCGN011_HEPG2_24H:BRD-K47323024:1.30099","BRD-K47323024","methapyrilene","HEPG2","trt_cp","1.25 uM","24 h",2,113,"0.14","0.127184",0,0,1,1,0,"Histamine receptor antagonist","HRH1","0.8002","1.9866","1.7655"
"1709","REP.A002_HA1E_24H:I02","BRD-K17026858","pibenzimol","HA1E","trt_cp","3.33 uM","24 h",3,240,"0.3932","0.31063",1,1,1,1,0,"DNA inhibitor","-666","0.7994","1.9849","1.7639"
"1741","CPC017_ASC_24H:BRD-K86301799-001-19-9:10","BRD-K86301799","dipyridamole","ASC","trt_cp","10 uM","24 h",4,349,"0.42","0.38714",0,0,1,1,0,"Phosphodiesterase inhibitor","PDE5A|ADA|PDE10A|PDE4A|PDE7B|PDE8A|PDE8B|SLC29A1|PDE1A|PDE1B|PDE1C|PDE2A|PDE3A|PDE3B|PDE4B|PDE4C|PDE4D|PDE6A|PDE6B|PDE6C|PDE6D|PDE6G|PDE6H|PDE7A|PDE9A","0.7988","1.9834","1.7626"
"1762","REP.B026_HT29_24H:L24","BRD-K92093830","doxorubicin","HT29","trt_cp","0.01 uM","24 h",2,127,"0.3772","0.221319",1,1,1,1,0,"Topoisomerase inhibitor","TOP2A","0.7984","1.9824","1.7615"
"1845","CPC018_PHH_24H:BRD-A03623303-045-05-3:10","BRD-A03623303","metoprolol","PHH","trt_cp","10 uM","24 h",3,100,"0.12","0.11077",0,0,1,1,0,"Adrenergic receptor antagonist","ADRB1|ADRB2","0.7968","1.9787","1.7581"
"1846","CPC011_VCAP_24H:BRD-K50866992-003-07-9:10","BRD-K50866992","tropisetron","VCAP","trt_cp","10 uM","24 h",5,138,"0.19","0.163737",1,0,1,1,0,"Serotonin receptor antagonist","HTR3A|GLRA1|GLRA2|GLRB|HTR4","0.7968","1.9787","1.7581"
"1907","REP.B016_THP1_24H:E07","BRD-K52313696","tacedinaline","THP1","trt_cp","2.22 uM","24 h",2,416,"0.7688","0.571852",1,1,1,1,0,"HDAC inhibitor","HDAC1","0.7952","1.9749","1.7545"
"1968","REP.A023_MCF7_24H:A08","BRD-A67862938","naftidrofuryl","MCF7","trt_cp","3.33 uM","24 h",3,272,"0.5043","0.374507",1,1,1,1,0,"Adrenergic receptor antagonist","-666","0.7938","1.9718","1.7514"
"2006","CPC015_SKB_24H:BRD-K18194590-065-05-6:10","BRD-K18194590","mephentermine","SKB","trt_cp","10 uM","24 h",2,53,"0.06","0.0570222",0,0,1,1,0,"Adrenergic receptor agonist","ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3","0.793","1.9701","1.7497"
"2045","REP.A006_YAPC_24H:G01","BRD-K20722021","CEP-32496","YAPC","trt_cp","10 uM","24 h",3,223,"0.4701","0.3274",0,0,1,1,0,"RAF inhibitor","BRAF|EGFR|RAF1","0.7919","1.9676","1.7473"
"2068","AICHI002_HBL1_4H:E01","BRD-K50168500","canertinib","HBL1","trt_cp","10 uM","4 h",3,170,"0.3","0.228358",0,0,1,1,0,"EGFR inhibitor","EGFR|ERBB2|ERBB4|AKT1","0.7915","1.9667","1.7464"
"2159","CPC018_SKB_24H:BRD-K30197592-001-01-5:10","BRD-K30197592","5-methoxytryptamine","SKB","trt_cp","10 uM","24 h",3,109,"0.11","0.110724",0,0,1,1,0,"Serotonin receptor agonist","-666","0.7896","1.9624","1.7422"
"2297","REP.A002_YAPC_24H:C09","BRD-K16037980","Z160","YAPC","trt_cp","1.11 uM","24 h",2,109,"0.2057","0.151412",0,0,1,1,0,"Calcium channel blocker","-666","0.787","1.9566","1.7364"
"2323","LJP005_SKBR3_3H:C22","BRD-K21680192","mitoxantrone","SKBR3","trt_cp","0.37 uM","3 h",2,148,"0.3467","0.229054",1,1,1,1,0,"Topoisomerase inhibitor","TOP2A|PIM1","0.7866","1.9558","1.7356"
"2384","REP.A001_HA1E_24H:O14","BRD-K30421593","timolol","HA1E","trt_cp","3.33 uM","24 h",3,68,"0.1049","0.0854029",1,0,1,1,0,"Adrenergic receptor antagonist","ADRB2|ADRB1","0.7854","1.9532","1.733"
"2412","REP.A016_MCF10A_24H:D24","BRD-K51967704","BIIB-021","MCF10A","trt_cp","0.04 uM","24 h",3,265,"0.4954","0.36638",1,1,1,1,0,"HSP inhibitor","AOX1|HSP90AA1","0.7849","1.952","1.7318"
"2431","PBIOA018_HCC515_24H:G24","BRD-K49055432","A-66","HCC515","trt_cp","0.04 uM","24 h",3,124,"0.25","0.178037",1,1,1,1,0,"PI3K inhibitor","PIK3CA","0.7844","1.9508","1.7306"
"2434","REP.B009_MCF7_24H:A21","BRD-K28307902","flutamide","MCF7","trt_cp","0.25 uM","24 h",2,108,"0.0873","0.098186",1,1,1,1,0,"Androgen receptor antagonist","AR|CYP2C19|AHR","0.7842","1.9506","1.7303"
"2471","MOAR001_PC3_24H:K04","BRD-A04327189","synephrine","PC3","trt_cp","12 uM","24 h",3,97,"0.26","0.160584",1,1,1,1,0,"Adrenergic receptor agonist","ADRA1A","0.7837","1.9494","1.7292"
"2525","CPC006_U937_6H:BRD-K89391146-001-02-3:80","BRD-K89391146","RG-108","U937","trt_cp","80 uM","6 h",2,59,"0.24","0.120327",1,1,1,1,0,"DNA inhibitor","DNMT1|DNMT3B","0.7827","1.9471","1.7268"
"2549","REP.A008_HA1E_24H:D01","BRD-K36862742","hydroflumethiazide","HA1E","trt_cp","10 uM","24 h",3,194,"0.3106","0.248217",0,0,1,1,0,"Sodium channel inhibitor","SLC12A1|ATP1A1|CA1|CA12|CA2|CA4|CA9|KCNMA1|SLC12A3","0.7821","1.946","1.7257"
"2562","NMH002_NPC_6H:BRD-K81473043-001-07-0:10","BRD-K81473043","tanespimycin","NPC","trt_cp","10 uM","6 h",3,245,"0.47","0.343133",1,1,1,1,0,"HSP inhibitor","HSP90AA1|CHEK1","0.7819","1.9455","1.7252"
"2584","REP.A024_HELA_24H:J01","BRD-K76775527","nimesulide","HELA","trt_cp","10 uM","24 h",3,101,"0.1703","0.132617",1,1,1,1,0,"Cyclooxygenase inhibitor","PTGS2|LTF|PLA2G2E|PTGS1","0.7814","1.9444","1.7241"
"2611","REP.B027_MCF7_24H:H01","BRD-K95880107","PH-797804","MCF7","trt_cp","2.22 uM","24 h",2,120,"0.3827","0.216696",1,1,1,1,0,"P38 MAPK inhibitor","MAPK14|MAPK11","0.7809","1.9434","1.723"
"2670","MOAR019_A375_24H:L06","BRD-K12244279","BRD-K12244279","A375","trt_cp","3.33 uM","24 h",3,451,"0.8152","0.613128",1,1,1,1,0,"MEK inhibitor","-666","0.78","1.9414","1.7209"
"2690","REP.A025_JURKAT_24H:N15","BRD-A78877355","nefopam","JURKAT","trt_cp","1.11 uM","24 h",2,82,"0.0786","0.0811799",1,0,1,1,0,"Cyclooxygenase inhibitor","-666","0.7797","1.9407","1.7202"
"2728","CPC002_HCC515_24H:BRD-K54094468-003-05-3:10","BRD-K54094468","remoxipride","HCC515","trt_cp","10 uM","24 h",2,280,"0.41","0.342611",1,1,1,1,0,"Dopamine receptor antagonist","DRD2|DRD3|DRD4|HTR2A|SIGMAR1","0.7788","1.939","1.7184"
"2816","CPC017_MCF7_6H:BRD-K32906660-001-01-4:10","BRD-K32906660","bis-tyrphostin","MCF7","trt_cp","10 uM","6 h",4,180,"0.24","0.210171",1,0,1,1,0,"EGFR inhibitor","EGFR","0.7774","1.936","1.7152"
"2853","CPC017_A375_6H:BRD-K12906962-001-02-1:10","BRD-K12906962","dichlorobenzamil","A375","trt_cp","10 uM","6 h",3,199,"0.14","0.16878",0,0,1,1,0,"Sodium channel inhibitor","-666","0.7767","1.9346","1.7138"
"2938","REP.A004_YAPC_24H:O22","BRD-K27184429","levocetirizine","YAPC","trt_cp","0.37 uM","24 h",3,234,"0.305","0.27014",0,0,1,1,0,"Histamine receptor antagonist","HRH1|CXCL8","0.7752","1.9314","1.7104"
"2977","REP.B011_MCF7_24H:A15","BRD-A03623303","metoprolol","MCF7","trt_cp","0.25 uM","24 h",2,381,"0.5446","0.460608",0,0,1,1,0,"Adrenergic receptor antagonist","ADRB1|ADRB2","0.7745","1.93","1.7089"
"3074","CPC018_HEPG2_6H:BRD-K08619574-334-03-9:10","BRD-K08619574","thioproperazine","HEPG2","trt_cp","10 uM","6 h",3,171,"0.19","0.182266",1,0,1,1,0,"Dopamine receptor antagonist","ADRA1A|ADRA1B|DRD1|DRD2|HTR1A|HTR2A","0.773","1.9269","1.7056"
"3093","CPD001_PC3_24H:BRD-A71033472-003-19-7:10","BRD-A71033472","fendiline","PC3","trt_cp","10 uM","24 h",3,239,"0.36","0.296607",1,0,1,1,0,"Calcium channel blocker","HTR2B","0.7727","1.9262","1.7049"
"3095","REP.B017_MCF10A_24H:P09","BRD-A65280694","molindone","MCF10A","trt_cp","0.25 uM","24 h",2,49,"0.1655","0.09106",1,1,1,1,0,"Dopamine receptor antagonist","DRD2|HTR2A|DRD5|CHRM1|HRH1|HTR1A","0.7727","1.9262","1.7048"
"3104","REP.B019_THP1_24H:E07","BRD-K46290096","preladenant","THP1","trt_cp","2.22 uM","24 h",2,75,"0.1833","0.118561",1,0,1,1,0,"Adenosine receptor antagonist","ADORA2A|ADORA1|ADORA2B|ADORA3","0.7726","1.926","1.7046"
"3123","CPC018_ASC_24H:BRD-K77987382-001-08-2:10","BRD-K77987382","mebendazole","ASC","trt_cp","10 uM","24 h",3,174,"0.14","0.157823",1,0,1,1,0,"Tubulin inhibitor","TUBA1A|TUBB|TUBB4B","0.7723","1.9254","1.7039"
"3147","REP.B012_HA1E_24H:O19","BRD-K03390685","cobimetinib","HA1E","trt_cp","2.22 uM","24 h",2,276,"0.4373","0.351297",0,0,1,1,0,"MEK inhibitor","-666","0.7719","1.9245","1.703"
"3174","CPC001_HCC515_24H:BRD-K66782112-001-01-2:10","BRD-K66782112","ICI-162846","HCC515","trt_cp","10 uM","24 h",3,577,"0.82","0.695545",1,1,1,1,0,"Histamine receptor antagonist","-666","0.7715","1.9238","1.7022"
"3207","CPC006_NCIH2073_6H:BRD-K30677119-001-01-0:11.1","BRD-K30677119","PP-30","NCIH2073","trt_cp","12 uM","6 h",2,191,"0.4","0.279497",0,0,1,1,0,"RAF inhibitor","RAF1","0.7709","1.9226","1.701"
"3213","REP.A005_A549_24H:C13","BRD-K08547377","irinotecan","A549","trt_cp","10 uM","24 h",3,386,"0.5641","0.471848",0,0,1,1,0,"Topoisomerase inhibitor","TOP1|CYP3A5|TOP1MT","0.7708","1.9225","1.7007"
"3232","CPC016_HT29_6H:BRD-K33860217-003-01-6:10","BRD-K33860217","CP-94253","HT29","trt_cp","10 uM","6 h",5,401,"0.13","0.230874",1,0,1,1,0,"Serotonin receptor agonist","HTR1B","0.7705","1.9225","1.7001"
"3248","REP.B020_HEK293_24H:A23","BRD-K83405785","pimavanserin","HEK293","trt_cp","0.03 uM","24 h",2,151,"0.2769","0.206767",0,0,1,1,0,"Serotonin receptor antagonist","HTR2A|DRD2","0.7703","1.9224","1.6997"
"3278","REP.B017_A375_24H:I09","BRD-K64538373","Ro-4987655","A375","trt_cp","0.25 uM","24 h",2,681,"0.8437","0.766475",1,1,1,1,0,"MEK inhibitor","MAP2K1","0.7698","1.9217","1.6985"
"3285","CPC013_PC3_6H:BRD-U82589721-000-01-4:10","BRD-U82589721","HG-5-113-01","PC3","trt_cp","10 uM","6 h",5,527,"0.68","0.605327",1,1,1,1,0,"Protein kinase inhibitor","-666","0.7697","1.9214","1.6983"
"3331","CPC016_ASC_24H:BRD-A63546914-003-01-2:10","BRD-A63546914","Ro-04-5595","ASC","trt_cp","10 uM","24 h",3,234,"0.31","0.272345",0,0,1,1,0,"Glutamate receptor antagonist","GRIN2B","0.769","1.9207","1.6968"
"3352","REP.B012_HUVEC.A_24H:O19","BRD-K03390685","cobimetinib","HUVEC","trt_cp","2.22 uM","24 h",2,563,"0.6421","0.607976",0,0,1,1,0,"MEK inhibitor","-666","0.7688","1.92","1.6962"
"3382","CPC018_MCF7_6H:BRD-K08996725-313-01-7:10","BRD-K08996725","zolantidine","MCF7","trt_cp","10 uM","6 h",3,113,"0.28","0.179866",1,0,1,1,0,"Histamine receptor antagonist","-666","0.7684","1.9195","1.6954"
"3421","CPC010_VCAP_6H:BRD-K28029915-066-02-5:10","BRD-K28029915","dolasetron","VCAP","trt_cp","10 uM","6 h",5,121,"0.09","0.105522",1,0,1,1,0,"Serotonin receptor antagonist","HTR3A","0.7679","1.9182","1.6943"
"3428","CPC015_PHH_24H:BRD-K38323065-001-09-0:10","BRD-K38323065","phenacetin","PHH","trt_cp","10 uM","24 h",2,227,"0.19","0.21",0,0,1,1,0,"Cyclooxygenase inhibitor","PTGS1","0.7678","1.9178","1.694"
"3461","CPC020_VCAP_24H:BRD-A13188892-001-02-2:10","BRD-A13188892","doxazosin","VCAP","trt_cp","10 uM","24 h",5,141,"0.17","0.156554",1,0,1,1,0,"Adrenergic receptor antagonist","ADRA1D|ADRA1A|ADRA1B|CYP2C19|KCNH2|KCNH6|KCNH7","0.7674","1.9166","1.6932"
"3485","REP.A014_HA1E_24H:F05","BRD-K58435339","AT-13387","HA1E","trt_cp","0.125 uM","24 h",3,245,"0.4396","0.33185",1,1,1,1,0,"HSP inhibitor","HSP90AA1","0.7671","1.9159","1.6926"
